time(UTC);RH
20090417:2300;82,65
20090418:0000;85,75
20090418:0100;88,95
20090418:0200;92,3
20090418:0300;92,3
20090418:0400;92,3
20090418:0500;95,75
20090418:0600;95,75
20090418:0700;92,3
20090418:0800;85,85
20090418:0900;74,2
20090418:1000;64,25
20090418:1100;55,5
20090418:1200;50
20090418:1300;48,4
20090418:1400;48,55
20090418:1500;50,35
20090418:1600;53,95
20090418:1700;66,75
20090418:1800;69,15
20090418:1900;62
20090418:2000;71,6
20090418:2100;74,15
20090418:2200;82,7
20090418:2300;82,7
20090419:0000;85,8
20090419:0100;88,95
20090419:0200;95,75
20090419:0300;95,75
20090419:0400;92,25
20090419:0500;92,25
20090419:0600;88,85
20090419:0700;82,6
20090419:0800;74,15
20090419:0900;59,7
20090419:1000;49,85
20090419:1100;44,75
20090419:1200;38,85
20090419:1300;37,65
20090419:1400;36,4
20090419:1500;35,2
20090419:1600;42,05
20090419:1700;39
20090419:1800;41,75
20090419:1900;55,75
20090419:2000;74,55
20090419:2100;62
20090419:2200;59,7
20090419:2300;64,1
20090420:0000;74,05
20090420:0100;79,65
20090420:0200;82,55
20090420:0300;82,5
20090420:0400;82,4
20090420:0500;82,35
20090420:0600;85,55
20090420:0700;76,8
20090420:0800;69
20090420:0900;55,65
20090420:1000;50,1
20090420:1100;43,4
20090420:1200;39
20090420:1300;32,5
20090420:1400;28,1
20090420:1500;26
20090420:1600;25,05
20090420:1700;24,05
20090420:1800;27,85
20090420:1900;34,35
20090420:2000;41,2
20090420:2100;47,75
20090420:2200;57,3
20090420:2300;63,9
20090421:0000;68,7
20090421:0100;71,25
20090421:0200;73,9
20090421:0300;79,5
20090421:0400;82,5
20090421:0500;85,55
20090421:0600;85,55
20090421:0700;79,55
20090421:0800;64
20090421:0900;53,6
20090421:1000;44,9
20090421:1100;40,6
20090421:1200;35,35
20090421:1300;31,65
20090421:1400;28,5
20090421:1500;27,45
20090421:1600;27,45
20090421:1700;27,45
20090421:1800;31,65
20090421:1900;37,8
20090421:2000;43,4
20090421:2100;48,15
20090421:2200;51,65
20090421:2300;55,4
20090422:0000;59,35
20090422:0100;63,8
20090422:0200;68,6
20090422:0300;71,15
20090422:0400;73,7
20090422:0500;76,5
20090422:0600;82,35
20090422:0700;71,15
20090422:0800;57,15
20090422:0900;42,7
20090422:1000;34,5
20090422:1100;30,1
20090422:1200;28,1
20090422:1300;25,4
20090422:1400;24,6
20090422:1500;23,8
20090422:1600;23
20090422:1700;23,8
20090422:1800;27,6
20090422:1900;34,05
20090422:2000;40,5
20090422:2100;44,9
20090422:2200;48,15
20090422:2300;53,5
20090423:0000;55,3
20090423:0100;59,35
20090423:0200;61,55
20090423:0300;68,7
20090423:0400;71,25
20090423:0500;73,9
20090423:0600;76,65
20090423:0700;74,05
20090423:0800;55,65
20090423:0900;40,5
20090423:1000;32,75
20090423:1100;28,5
20090423:1200;23,9
20090423:1300;20,05
20090423:1400;18,65
20090423:1500;17,4
20090423:1600;16,7
20090423:1700;17,25
20090423:1800;22,4
20090423:1900;30,9
20090423:2000;42,45
20090423:2100;48,8
20090423:2200;30,2
20090423:2300;30,1
20090424:0000;32,2
20090424:0100;33,35
20090424:0200;44,5
20090424:0300;61,65
20090424:0400;66,25
20090424:0500;71,25
20090424:0600;71,25
20090424:0700;66,55
20090424:0800;43,5
20090424:0900;32,9
20090424:1000;29,9
20090424:1100;26,05
20090424:1200;22,65
20090424:1300;21,9
20090424:1400;21,2
20090424:1500;21,2
20090424:1600;22,05
20090424:1700;23,65
20090424:1800;27,05
20090424:1900;31,05
20090424:2000;35,45
20090424:2100;37,95
20090424:2200;40,6
20090424:2300;48,55
20090425:0000;53,95
20090425:0100;62,2
20090425:0200;66,75
20090425:0300;71,7
20090425:0400;77
20090425:0500;76,95
20090425:0600;76,95
20090425:0700;66,75
20090425:0800;52
20090425:0900;45,3
20090425:1000;37,95
20090425:1100;31,55
20090425:1200;27,2
20090425:1300;25,3
20090425:1400;23,4
20090425:1500;22,5
20090425:1600;22,35
20090425:1700;23,15
20090425:1800;25,6
20090425:1900;29,4
20090425:2000;31,55
20090425:2100;33,8
20090425:2200;37,9
20090425:2300;39,25
20090426:0000;42,15
20090426:0100;43,7
20090426:0200;48,8
20090426:0300;52,6
20090426:0400;56,7
20090426:0500;61,2
20090426:0600;63,6
20090426:0700;68,6
20090426:0800;61,45
20090426:0900;59,25
20090426:1000;59,35
20090426:1100;57,3
20090426:1200;53,35
20090426:1300;47,85
20090426:1400;44,5
20090426:1500;37,15
20090426:1600;35,75
20090426:1700;33,05
20090426:1800;32,8
20090426:1900;36,55
20090426:2000;40,8
20090426:2100;51,1
20090426:2200;63,8
20090426:2300;61,3
20090427:0000;58,9
20090427:0100;56,7
20090427:0200;61,1
20090427:0300;68,3
20090427:0400;68,2
20090427:0500;65,65
20090427:0600;65,65
20090427:0700;68,5
20090427:0800;51
20090427:0900;44,1
20090427:1000;36,85
20090427:1100;30,85
20090427:1200;27,7
20090427:1300;25,9
20090427:1400;24,05
20090427:1500;24,05
20090427:1600;25,05
20090427:1700;27,85
20090427:1800;29,95
20090427:1900;38,55
20090427:2000;42,95
20090427:2100;47,85
20090427:2200;51,5
20090427:2300;55,4
20090428:0000;59,6
20090428:0100;61,75
20090428:0200;64,1
20090428:0300;66,45
20090428:0400;68,9
20090428:0500;68,9
20090428:0600;71,5
20090428:0700;69
20090428:0800;57,55
20090428:0900;51,65
20090428:1000;44,65
20090428:1100;38,55
20090428:1200;34,65
20090428:1300;31,15
20090428:1400;25,05
20090428:1500;21,65
20090428:1600;21,65
20090428:1700;23,25
20090428:1800;25,05
20090428:1900;31
20090428:2000;37,15
20090428:2100;41,2
20090428:2200;42,55
20090428:2300;47,45
20090429:0000;53,1
20090429:0100;66,25
20090429:0200;73,95
20090429:0300;73,95
20090429:0400;73,9
20090429:0500;76,65
20090429:0600;79,55
20090429:0700;74,15
20090429:0800;61,85
20090429:0900;51,75
20090429:1000;43,4
20090429:1100;35,05
20090429:1200;29,2
20090429:1300;26,3
20090429:1400;23,65
20090429:1500;23,8
20090429:1600;23
20090429:1700;23,8
20090429:1800;30,65
20090429:1900;39,4
20090429:2000;46,9
20090429:2100;50,25
20090429:2200;53,85
20090429:2300;57,75
20090430:0000;64,35
20090430:0100;66,65
20090430:0200;74,3
20090430:0300;77
20090430:0400;79,85
20090430:0500;85,9
20090430:0600;85,9
20090430:0700;77,1
20090430:0800;69,25
20090430:0900;62,2
20090430:1000;56
20090430:1100;48,55
20090430:1200;46,9
20090430:1300;43,65
20090430:1400;42,15
20090430:1500;40,75
20090430:1600;43,06
20090430:1700;46,18
20090430:1800;49,3
20090430:1900;52,41
20090430:2000;55,53
20090430:2100;58,64
20090430:2200;61,76
20090430:2300;64,88
20120501:0000;67,99
20120501:0100;71,11
20120501:0200;74,22
20120501:0300;77,34
20120501:0400;80,46
20120501:0500;83,57
20120501:0600;86,69
20120501:0700;89,81
20120501:0800;68,9
20120501:0900;57,4
20120501:1000;53,5
20120501:1100;49,85
20120501:1200;48,25
20120501:1300;48,4
20120501:1400;46,9
20120501:1500;46,9
20120501:1600;50,35
20120501:1700;50,25
20120501:1800;69,25
20120501:1900;66,75
20120501:2000;74,4
20120501:2100;79,9
20120501:2200;89,05
20120501:2300;89
20120502:0000;88,95
20120502:0100;92,25
20120502:0200;88,85
20120502:0300;92,25
20120502:0400;88,85
20120502:0500;88,85
20120502:0600;85,65
20120502:0700;82,7
20120502:0800;71,6
20120502:0900;57,75
20120502:1000;52
20120502:1100;42,05
20120502:1200;39,15
20120502:1300;37,65
20120502:1400;36,4
20120502:1500;35,05
20120502:1600;35,05
20120502:1700;35,05
20120502:1800;36,4
20120502:1900;45,05
20120502:2000;60,05
20120502:2100;59,85
20120502:2200;49,7
20120502:2300;47,85
20120503:0000;61,65
20120503:0100;73,95
20120503:0200;76,65
20120503:0300;79,55
20120503:0400;79,5
20120503:0500;79,5
20120503:0600;79,55
20120503:0700;74,3
20120503:0800;69,35
20120503:0900;64,75
20120503:1000;60,4
20120503:1100;60,65
20120503:1200;50,85
20120503:1300;52,65
20120503:1400;56,5
20120503:1500;62,75
20120503:1600;67,35
20120503:1700;65,05
20120503:1800;64,95
20120503:1900;77,5
20120503:2000;80,2
20120503:2100;83,1
20120503:2200;89,25
20120503:2300;92,5
20120504:0000;95,85
20120504:0100;95,85
20120504:0200;95,85
20120504:0300;95,85
20120504:0400;92,45
20120504:0500;95,85
20120504:0600;95,85
20120504:0700;95,85
20120504:0800;95,9
20120504:0900;86,15
20120504:1000;83,25
20120504:1100;72,2
20120504:1200;69,75
20120504:1300;62,75
20120504:1400;62,75
20120504:1500;62,65
20120504:1600;58,25
20120504:1700;56
20120504:1800;58
20120504:1900;71,95
20120504:2000;77,2
20120504:2100;80,05
20120504:2200;82,95
20120504:2300;85,95
20120505:0000;89,1
20120505:0100;92,4
20120505:0200;92,4
20120505:0300;92,4
20120505:0400;95,8
20120505:0500;92,4
20120505:0600;92,4
20120505:0700;89,1
20120505:0800;79,95
20120505:0900;71,75
20120505:1000;62,1
20120505:1100;55,9
20120505:1200;53,95
20120505:1300;52,15
20120505:1400;50,35
20120505:1500;48,65
20120505:1600;46,9
20120505:1700;48,55
20120505:1800;50,25
20120505:1900;60,2
20120505:2000;66,85
20120505:2100;74,45
20120505:2200;77,15
20120505:2300;82,95
20120506:0000;85,95
20120506:0100;85,95
20120506:0200;89,1
20120506:0300;89,05
20120506:0400;92,35
20120506:0500;92,35
20120506:0600;92,35
20120506:0700;82,9
20120506:0800;69,25
20120506:0900;58
20120506:1000;48,55
20120506:1100;42,05
20120506:1200;39,15
20120506:1300;39,15
20120506:1400;39,25
20120506:1500;42,15
20120506:1600;42,15
20120506:1700;43,65
20120506:1800;46,9
20120506:1900;50,25
20120506:2000;55,75
20120506:2100;59,85
20120506:2200;62
20120506:2300;66,55
20120507:0000;69
20120507:0100;76,95
20120507:0200;79,75
20120507:0300;79,7
20120507:0400;82,65
20120507:0500;85,75
20120507:0600;85,75
20120507:0700;77,1
20120507:0800;62,3
20120507:0900;52,25
20120507:1000;45,45
20120507:1100;43,9
20120507:1200;39,65
20120507:1300;39,8
20120507:1400;44,3
20120507:1500;49,15
20120507:1600;52,75
20120507:1700;52,75
20120507:1800;54,7
20120507:1900;60,85
20120507:2000;65,15
20120507:2100;69,85
20120507:2200;74,85
20120507:2300;77,5
20120508:0000;80,3
20120508:0100;83,25
20120508:0200;86,2
20120508:0300;86,25
20120508:0400;86,25
20120508:0500;89,4
20120508:0600;89,4
20120508:0700;89,5
20120508:0800;89,5
20120508:0900;75,3
20120508:1000;67,95
20120508:1100;65,65
20120508:1200;61,3
20120508:1300;55,45
20120508:1400;50,05
20120508:1500;45,25
20120508:1600;43,65
20120508:1700;46,6
20120508:1800;51,65
20120508:1900;59,15
20120508:2000;65,45
20120508:2100;67,75
20120508:2200;72,55
20120508:2300;77,75
20120509:0000;77,65
20120509:0100;83,25
20120509:0200;89,35
20120509:0300;83,25
20120509:0400;83,25
20120509:0500;86,2
20120509:0600;92,5
20120509:0700;83,4
20120509:0800;67,85
20120509:0900;59,15
20120509:1000;48,2
20120509:1100;42,1
20120509:1200;36,8
20120509:1300;34,5
20120509:1400;33,4
20120509:1500;31,2
20120509:1600;31,2
20120509:1700;32,25
20120509:1800;35,8
20120509:1900;54,1
20120509:2000;55,55
20120509:2100;59,15
20120509:2200;60,95
20120509:2300;65,25
20120510:0000;67,45
20120510:0100;69,85
20120510:0200;74,85
20120510:0300;74,85
20120510:0400;77,5
20120510:0500;77,45
20120510:0600;77,45
20120510:0700;67,65
20120510:0800;46,1
20120510:0900;39,05
20120510:1000;34,4
20120510:1100;32,5
20120510:1200;30,5
20120510:1300;27,6
20120510:1400;25
20120510:1500;23,4
20120510:1600;23,4
20120510:1700;24,1
20120510:1800;35,45
20120510:1900;40,5
20120510:2000;42,75
20120510:2100;50,2
20120510:2200;48,2
20120510:2300;44,7
20120511:0000;44,45
20120511:0100;49,15
20120511:0200;50,85
20120511:0300;54,45
20120511:0400;56,35
20120511:0500;58,35
20120511:0600;60,5
20120511:0700;54,85
20120511:0800;43,25
20120511:0900;36,7
20120511:1000;33,4
20120511:1100;29,4
20120511:1200;27,75
20120511:1300;24,35
20120511:1400;22,1
20120511:1500;19,9
20120511:1600;19,9
20120511:1700;21,3
20120511:1800;34,6
20120511:1900;31,75
20120511:2000;38,7
20120511:2100;45,6
20120511:2200;55,8
20120511:2300;63,8
20120512:0000;63,6
20120512:0100;70,35
20120512:0200;70,3
20120512:0300;70,2
20120512:0400;72,65
20120512:0500;77,8
20120512:0600;80,6
20120512:0700;61,3
20120512:0800;46,85
20120512:0900;35,9
20120512:1000;29,55
20120512:1100;25,15
20120512:1200;22
20120512:1300;19,2
20120512:1400;18,5
20120512:1500;19,1
20120512:1600;24,1
20120512:1700;25,8
20120512:1800;27,6
20120512:1900;35,05
20120512:2000;45,9
20120512:2100;44,15
20120512:2200;55,9
20120512:2300;59,6
20120513:0000;63,7
20120513:0100;68,05
20120513:0200;72,8
20120513:0300;72,8
20120513:0400;75,3
20120513:0500;77,85
20120513:0600;77,95
20120513:0700;61,4
20120513:0800;47
20120513:0900;38,55
20120513:1000;33,95
20120513:1100;29,8
20120513:1200;24,35
20120513:1300;19,8
20120513:1400;17,1
20120513:1500;18,15
20120513:1600;20,2
20120513:1700;21,6
20120513:1800;23,85
20120513:1900;28,35
20120513:2000;37,2
20120513:2100;45,5
20120513:2200;52
20120513:2300;51,75
20120514:0000;59,25
20120514:0100;63,4
20120514:0200;65,55
20120514:0300;67,85
20120514:0400;70,2
20120514:0500;72,65
20120514:0600;72,65
20120514:0700;63,4
20120514:0800;50,05
20120514:0900;42,35
20120514:1000;33,4
20120514:1100;27,25
20120514:1200;23,75
20120514:1300;20,7
20120514:1400;18,65
20120514:1500;16,75
20120514:1600;15,55
20120514:1700;16
20120514:1800;17,7
20120514:1900;18,75
20120514:2000;23
20120514:2100;28,25
20120514:2200;32,35
20120514:2300;35,75
20120515:0000;35,6
20120515:0100;41,05
20120515:0200;49,05
20120515:0300;54,6
20120515:0400;56,35
20120515:0500;58,35
20120515:0600;58,35
20120515:0700;50,75
20120515:0800;44,2
20120515:0900;38,65
20120515:1000;32,6
20120515:1100;27,45
20120515:1200;23,15
20120515:1300;20,9
20120515:1400;18,9
20120515:1500;18,2
20120515:1600;16,85
20120515:1700;16,2
20120515:1800;16,1
20120515:1900;19,25
20120515:2000;22,65
20120515:2100;24,85
20120515:2200;26,4
20120515:2300;30,5
20120516:0000;36,4
20120516:0100;40,5
20120516:0200;43,4
20120516:0300;46,5
20120516:0400;48,15
20120516:0500;49,7
20120516:0600;46,2
20120516:0700;43,25
20120516:0800;33,75
20120516:0900;27,3
20120516:1000;22,4
20120516:1100;19,65
20120516:1200;17,85
20120516:1300;15,6
20120516:1400;14,65
20120516:1500;13,65
20120516:1600;13,65
20120516:1700;14,2
20120516:1800;15,3
20120516:1900;26,4
20120516:2000;26
20120516:2100;34,1
20120516:2200;30,3
20120516:2300;32,2
20120517:0000;29,75
20120517:0100;34,3
20120517:0200;44,2
20120517:0300;47,3
20120517:0400;47,3
20120517:0500;48,9
20120517:0600;48,9
20120517:0700;49,3
20120517:0800;44,85
20120517:0900;40,75
20120517:1000;37,1
20120517:1100;32,75
20120517:1200;27,75
20120517:1300;23,4
20120517:1400;20,3
20120517:1500;18,85
20120517:1600;20,85
20120517:1700;20,7
20120517:1800;24,65
20120517:1900;31,35
20120517:2000;35,8
20120517:2100;40,9
20120517:2200;42,1
20120517:2300;44,95
20120518:0000;46,5
20120518:0100;49,8
20120518:0200;55,2
20120518:0300;59,15
20120518:0400;63,3
20120518:0500;65,45
20120518:0600;65,45
20120518:0700;57,1
20120518:0800;43,4
20120518:0900;32,75
20120518:1000;25,5
20120518:1100;20,65
20120518:1200;17,25
20120518:1300;14,9
20120518:1400;12,85
20120518:1500;12,75
20120518:1600;12,75
20120518:1700;14,1
20120518:1800;16,3
20120518:1900;20,95
20120518:2000;24,05
20120518:2100;27,6
20120518:2200;30,65
20120518:2300;32,75
20120519:0000;36,4
20120519:0100;37,8
20120519:0200;43,65
20120519:0300;50,5
20120519:0400;56,25
20120519:0500;64,85
20120519:0600;69,75
20120519:0700;64,95
20120519:0800;56,35
20120519:0900;48,9
20120519:1000;45,55
20120519:1100;44,2
20120519:1200;42,85
20120519:1300;49,15
20120519:1400;52,75
20120519:1500;49,15
20120519:1600;49,05
20120519:1700;43,9
20120519:1800;43,8
20120519:1900;43,65
20120519:2000;48,55
20120519:2100;53,95
20120519:2200;57,9
20120519:2300;62,1
20120520:0000;62
20120520:0100;62
20120520:0200;64,1
20120520:0300;66,45
20120520:0400;68,9
20120520:0500;68,9
20120520:0600;68,9
20120520:0700;79,85
20120520:0800;69,1
20120520:0900;59,85
20120520:1000;53,85
20120520:1100;48,4
20120520:1200;41,75
20120520:1300;37,4
20120520:1400;57,75
20120520:1500;48,25
20120520:1600;44,9
20120520:1700;38,85
20120520:1800;40,2
20120520:1900;42,95
20120520:2000;55,4
20120520:2100;55,4
20120520:2200;64,1
20120520:2300;66,45
20120521:0000;68,9
20120521:0100;73,95
20120521:0200;76,7
20120521:0300;76,65
20120521:0400;76,65
20120521:0500;76,65
20120521:0600;76,7
20120521:0700;66,35
20120521:0800;57,4
20120521:0900;49,7
20120521:1000;41,5
20120521:1100;32,1
20120521:1200;27,7
20120521:1300;23,8
20120521:1400;23
20120521:1500;23,15
20120521:1600;24,05
20120521:1700;23,25
20120521:1800;22,5
20120521:1900;27,85
20120521:2000;33,5
20120521:2100;40,1
20120521:2200;42,95
20120521:2300;46,2
20120522:0000;53,5
20120522:0100;61,85
20120522:0200;71,6
20120522:0300;74,2
20120522:0400;76,95
20120522:0500;82,7
20120522:0600;79,85
20120522:0700;64,55
20120522:0800;56,15
20120522:0900;50,6
20120522:1000;45,7
20120522:1100;37,1
20120522:1200;32,35
20120522:1300;30,3
20120522:1400;28,25
20120522:1500;26,45
20120522:1600;28,35
20120522:1700;30,4
20120522:1800;33,7
20120522:1900;34,7
20120522:2000;39,65
20120522:2100;42,45
20120522:2200;43,9
20120522:2300;48,8
20120523:0000;52,25
20120523:0100;56
20120523:0200;60,2
20120523:0300;64,55
20120523:0400;66,85
20120523:0500;71,75
20120523:0600;71,85
20120523:0700;60,3
20120523:0800;47,3
20120523:0900;38,35
20120523:1000;32,35
20120523:1100;27,35
20120523:1200;24,8
20120523:1300;21,7
20120523:1400;21
20120523:1500;19,6
20120523:1600;19,6
20120523:1700;19,6
20120523:1800;20,35
20120523:1900;26,95
20120523:2000;31,85
20120523:2100;40,35
20120523:2200;39,95
20120523:2300;39,65
20120524:0000;39,4
20120524:0100;42,3
20120524:0200;47,15
20120524:0300;54,35
20120524:0400;58,35
20120524:0500;62,65
20120524:0600;64,95
20120524:0700;52,75
20120524:0800;44,6
20120524:0900;35,1
20120524:1000;27,7
20120524:1100;22,65
20120524:1200;21,15
20120524:1300;19,85
20120524:1400;18,5
20120524:1500;17,3
20120524:1600;17,3
20120524:1700;16,65
20120524:1800;18,4
20120524:1900;23,6
20120524:2000;24,15
20120524:2100;29,55
20120524:2200;36,3
20120524:2300;37,5
20120525:0000;26,05
20120525:0100;38,5
20120525:0200;45,55
20120525:0300;40,75
20120525:0400;39,15
20120525:0500;48,55
20120525:0600;54,35
20120525:0700;35,45
20120525:0800;30
20120525:0900;25,5
20120525:1000;22,5
20120525:1100;20,45
20120525:1200;19,35
20120525:1300;18,05
20120525:1400;17,5
20120525:1500;23,75
20120525:1600;21,95
20120525:1700;22,75
20120525:1800;24,4
20120525:1900;26
20120525:2000;31,85
20120525:2100;37,75
20120525:2200;41,85
20120525:2300;44,7
20120526:0000;47,8
20120526:0100;49,3
20120526:0200;50,85
20120526:0300;50,75
20120526:0400;52,5
20120526:0500;56,25
20120526:0600;54,25
20120526:0700;52,4
20120526:0800;45,55
20120526:0900;34,15
20120526:1000;24,7
20120526:1100;17,75
20120526:1200;14,25
20120526:1300;12,85
20120526:1400;11,95
20120526:1500;12,45
20120526:1600;12,95
20120526:1700;14,95
20120526:1800;17,25
20120526:1900;20,6
20120526:2000;25,55
20120526:2100;30,5
20120526:2200;35,2
20120526:2300;37,8
20120527:0000;40,5
20120527:0100;46,75
20120527:0200;53,95
20120527:0300;53,85
20120527:0400;57,75
20120527:0500;59,85
20120527:0600;57,75
20120527:0700;41,9
20120527:0800;33,9
20120527:0900;28,5
20120527:1000;25,8
20120527:1100;21,65
20120527:1200;18,9
20120527:1300;17,05
20120527:1400;15,4
20120527:1500;14,9
20120527:1600;14,9
20120527:1700;15,4
20120527:1800;16,5
20120527:1900;19,65
20120527:2000;25,2
20120527:2100;28,9
20120527:2200;37,1
20120527:2300;42,7
20120528:0000;40,9
20120528:0100;37,8
20120528:0200;36,3
20120528:0300;37,55
20120528:0400;40,35
20120528:0500;43,4
20120528:0600;43,5
20120528:0700;38,1
20120528:0800;32,2
20120528:0900;27,2
20120528:1000;23
20120528:1100;18,65
20120528:1200;16,2
20120528:1300;15,1
20120528:1400;14,1
20120528:1500;13,65
20120528:1600;13,15
20120528:1700;13,55
20120528:1800;14
20120528:1900;16,1
20120528:2000;18,3
20120528:2100;20,95
20120528:2200;24,95
20120528:2300;29,75
20120529:0000;34,15
20120529:0100;43,9
20120529:0200;40,75
20120529:0300;42,15
20120529:0400;46,9
20120529:0500;48,55
20120529:0600;46,9
20120529:0700;39,4
20120529:0800;33,3
20120529:0900;28,1
20120529:1000;23
20120529:1100;17,25
20120529:1200;14,45
20120529:1300;13,45
20120529:1400;13,05
20120529:1500;12,55
20120529:1600;12,55
20120529:1700;12,95
20120529:1800;13,9
20120529:1900;14,8
20120529:2000;17,5
20120529:2100;20,85
20120529:2200;24,85
20120529:2300;28,65
20120530:0000;35,45
20120530:0100;36,7
20120530:0200;37,95
20120530:0300;42,15
20120530:0400;45,15
20120530:0500;46,75
20120530:0600;45,3
20120530:0700;34,05
20120530:0800;28,65
20120530:0900;22,75
20120530:1000;18,65
20120530:1100;16,3
20120530:1200;15,3
20120530:1300;14,4
20120530:1400;13
20120530:1500;12,55
20120530:1600;12,05
20120530:1700;12,05
20120530:1800;12,45
20120530:1900;14,75
20120530:2000;16,2
20120530:2100;19,15
20120530:2200;21,9
20120530:2300;27,95
20120531:0000;24,7
20120531:0100;29,75
20120531:0200;33,15
20120531:0300;38,35
20120531:0400;42,6
20120531:0500;45,7
20120531:0600;44,2
20120531:0700;38,75
20120531:0800;31,7
20120531:0900;26
20120531:1000;21,95
20120531:1100;18,05
20120531:1200;15,85
20120531:1300;14,35
20120531:1400;13,9
20120531:1500;13
20120531:1600;6,27
20120531:1700;11,97
20120531:1800;17,66
20120531:1900;23,36
20120531:2000;29,06
20120531:2100;34,75
20120531:2200;40,45
20120531:2300;46,15
20180601:0000;51,84
20180601:0100;57,54
20180601:0200;63,23
20180601:0300;68,93
20180601:0400;74,63
20180601:0500;80,32
20180601:0600;86,02
20180601:0700;91,72
20180601:0800;63,2
20180601:0900;55,05
20180601:1000;51,65
20180601:1100;48,3
20180601:1200;45,25
20180601:1300;43,75
20180601:1400;42,25
20180601:1500;43,75
20180601:1600;43,75
20180601:1700;43,65
20180601:1800;46,6
20180601:1900;53,35
20180601:2000;63,5
20180601:2100;67,85
20180601:2200;70,1
20180601:2300;70
20180602:0000;70
20180602:0100;72,45
20180602:0200;75,1
20180602:0300;80,45
20180602:0400;89,4
20180602:0500;89,4
20180602:0600;89,45
20180602:0700;83,45
20180602:0800;75,25
20180602:0900;70,3
20180602:1000;59,15
20180602:1100;53,35
20180602:1200;48,3
20180602:1300;46,85
20180602:1400;45,35
20180602:1500;45,35
20180602:1600;48,45
20180602:1700;72,95
20180602:1800;80,8
20180602:1900;67,95
20180602:2000;72,8
20180602:2100;75,3
20180602:2200;80,65
20180602:2300;89,5
20180603:0000;89,45
20180603:0100;89,45
20180603:0200;95,95
20180603:0300;89,45
20180603:0400;99,4
20180603:0500;95,95
20180603:0600;95,95
20180603:0700;86,45
20180603:0800;77,95
20180603:0900;68,05
20180603:1000;63,6
20180603:1100;57,55
20180603:1200;53,85
20180603:1300;48,7
20180603:1400;48,7
20180603:1500;46,85
20180603:1600;45,1
20180603:1700;46,5
20180603:1800;46,5
20180603:1900;51,5
20180603:2000;55,05
20180603:2100;60,95
20180603:2200;63,05
20180603:2300;67,55
20180604:0000;69,9
20180604:0100;72,4
20180604:0200;74,85
20180604:0300;77,5
20180604:0400;77,45
20180604:0500;80,2
20180604:0600;77,45
20180604:0700;74,85
20180604:0800;69,9
20180604:0900;63,05
20180604:1000;58,8
20180604:1100;54,85
20180604:1200;51,25
20180604:1300;49,45
20180604:1400;49,45
20180604:1500;49,45
20180604:1600;47,65
20180604:1700;49,3
20180604:1800;52,75
20180604:1900;54,6
20180604:2000;60,65
20180604:2100;64,95
20180604:2200;67,25
20180604:2300;69,65
20180605:0000;72,2
20180605:0100;77,45
20180605:0200;77,45
20180605:0300;83,15
20180605:0400;83,15
20180605:0500;86,15
20180605:0600;83,15
20180605:0700;74,75
20180605:0800;67,25
20180605:0900;60,5
20180605:1000;54,45
20180605:1100;49,05
20180605:1200;45,7
20180605:1300;45,85
20180605:1400;44,3
20180605:1500;44,3
20180605:1600;45,85
20180605:1700;52,75
20180605:1800;65,05
20180605:1900;52,65
20180605:2000;64,95
20180605:2100;69,75
20180605:2200;74,75
20180605:2300;80,2
20180606:0000;83,1
20180606:0100;89,3
20180606:0200;89,3
20180606:0300;99,4
20180606:0400;95,9
20180606:0500;95,9
20180606:0600;95,9
20180606:0700;89,35
20180606:0800;80,35
20180606:0900;72,4
20180606:1000;70
20180606:1100;60,95
20180606:1200;54,95
20180606:1300;53,15
20180606:1400;51,25
20180606:1500;49,55
20180606:1600;49,55
20180606:1700;49,55
20180606:1800;49,45
20180606:1900;53
20180606:2000;65,35
20180606:2100;58,7
20180606:2200;54,6
20180606:2300;58,6
20180607:0000;60,65
20180607:0100;64,95
20180607:0200;69,75
20180607:0300;74,75
20180607:0400;77,45
20180607:0500;86,15
20180607:0600;89,35
20180607:0700;72,4
20180607:0800;63,05
20180607:0900;55,05
20180607:1000;49,7
20180607:1100;44,85
20180607:1200;40,5
20180607:1300;39,15
20180607:1400;37,9
20180607:1500;40,6
20180607:1600;43,5
20180607:1700;48,2
20180607:1800;51,5
20180607:1900;59,15
20180607:2000;61,2
20180607:2100;65,45
20180607:2200;67,75
20180607:2300;72,65
20180608:0000;72,55
20180608:0100;77,8
20180608:0200;77,8
20180608:0300;80,55
20180608:0400;86,4
20180608:0500;89,45
20180608:0600;83,45
20180608:0700;86,5
20180608:0800;86,5
20180608:0900;78
20180608:1000;72,9
20180608:1100;65,65
20180608:1200;63,5
20180608:1300;63,5
20180608:1400;57,3
20180608:1500;55,45
20180608:1600;53,5
20180608:1700;61,4
20180608:1800;63,4
20180608:1900;75,3
20180608:2000;77,95
20180608:2100;80,65
20180608:2200;86,5
20180608:2300;86,45
20180609:0000;86,4
20180609:0100;89,45
20180609:0200;92,65
20180609:0300;92,6
20180609:0400;95,95
20180609:0500;95,95
20180609:0600;95,95
20180609:0700;86,45
20180609:0800;77,85
20180609:0900;75,25
20180609:1000;67,85
20180609:1100;57,1
20180609:1200;51,4
20180609:1300;47,9
20180609:1400;47,9
20180609:1500;51,4
20180609:1600;53,15
20180609:1700;54,95
20180609:1800;56,85
20180609:1900;58,7
20180609:2000;62,95
20180609:2100;69,9
20180609:2200;74,95
20180609:2300;83,25
20180610:0000;86,25
20180610:0100;86,2
20180610:0200;86,15
20180610:0300;86,15
20180610:0400;86,15
20180610:0500;92,5
20180610:0600;92,55
