time(UTC);RH
20140121:1500;68,7
20140121:1600;73,95
20140121:1700;79,65
20140121:1800;85,75
20140121:1900;85,75
20140121:2000;89
20140121:2100;95,8
20140121:2200;95,8
20140121:2300;95,8
20140122:0000;95,8
20140122:0100;95,8
20140122:0200;99,4
20140122:0300;99,4
20140122:0400;95,8
20140122:0500;95,8
20140122:0600;95,75
20140122:0700;95,8
20140122:0800;92,3
20140122:0900;89
20140122:1000;82,7
20140122:1100;74,15
20140122:1200;66,45
20140122:1300;61,75
20140122:1400;61,75
20140122:1500;59,6
20140122:1600;68,9
20140122:1700;68,9
20140122:1800;71,25
20140122:1900;73,9
20140122:2000;79,5
20140122:2100;79,4
20140122:2200;85,5
20140122:2300;88,7
20140123:0000;92,05
20140123:0100;92,05
20140123:0200;88,5
20140123:0300;92
20140123:0400;88,45
20140123:0500;88,45
20140123:0600;88,5
20140123:0700;85,2
20140123:0800;88,5
20140123:0900;85,35
20140123:1000;65,75
20140123:1100;61,1
20140123:1200;50,7
20140123:1300;48,95
20140123:1400;49,05
20140123:1500;49,05
20140123:1600;52,85
20140123:1700;56,9
20140123:1800;66,05
20140123:1900;71,05
20140123:2000;56,7
20140123:2100;76,3
20140123:2200;79,15
20140123:2300;85,35
20140124:0000;85,3
20140124:0100;88,6
20140124:0200;88,6
20140124:0300;88,6
20140124:0400;88,65
20140124:0500;92,1
20140124:0600;92,1
20140124:0700;92,1
20140124:0800;92,1
20140124:0900;92,15
20140124:1000;82,4
20140124:1100;73,9
20140124:1200;63,9
20140124:1300;61,75
20140124:1400;57,55
20140124:1500;57,65
20140124:1600;59,85
20140124:1700;66,55
20140124:1800;68,9
20140124:1900;68,9
20140124:2000;68,9
20140124:2100;71,4
20140124:2200;74,05
20140124:2300;79,7
20140125:0000;82,65
20140125:0100;82,65
20140125:0200;85,75
20140125:0300;85,7
20140125:0400;92,25
20140125:0500;88,85
20140125:0600;92,25
20140125:0700;88,85
20140125:0800;88,85
20140125:0900;85,75
20140125:1000;77,1
20140125:1100;71,75
20140125:1200;64,55
20140125:1300;60,2
20140125:1400;60,3
20140125:1500;62,45
20140125:1600;67,05
20140125:1700;69,45
20140125:1800;80,15
20140125:1900;77,2
20140125:2000;79,95
20140125:2100;79,9
20140125:2200;85,85
20140125:2300;92,3
20140126:0000;95,75
20140126:0100;95,75
20140126:0200;92,2
20140126:0300;92,25
20140126:0400;92,3
20140126:0500;95,75
20140126:0600;95,75
20140126:0700;99,4
20140126:0800;95,75
20140126:0900;95,75
20140126:1000;92,35
20140126:1100;92,4
20140126:1200;86
20140126:1300;71,95
20140126:1400;67,05
20140126:1500;64,75
20140126:1600;67,05
20140126:1700;71,95
20140126:1800;77,1
20140126:1900;71,6
20140126:2000;74,2
20140126:2100;74,2
20140126:2200;76,95
20140126:2300;79,75
20140127:0000;82,75
20140127:0100;82,75
20140127:0200;82,75
20140127:0300;85,9
20140127:0400;85,9
20140127:0500;92,4
20140127:0600;92,4
20140127:0700;89,1
20140127:0800;85,9
20140127:0900;68,7
20140127:1000;56,9
20140127:1100;50,85
20140127:1200;48,95
20140127:1300;43,7
20140127:1400;42
20140127:1500;40,4
20140127:1600;43,55
20140127:1700;48,8
20140127:1800;54,55
20140127:1900;58,8
20140127:2000;63,35
20140127:2100;65,75
20140127:2200;65,65
20140127:2300;68,1
20140128:0000;70,7
20140128:0100;76,25
20140128:0200;79,15
20140128:0300;82,25
20140128:0400;85,4
20140128:0500;85,4
20140128:0600;88,65
20140128:0700;88,7
20140128:0800;88,7
20140128:0900;85,5
20140128:1000;85,55
20140128:1100;79,4
20140128:1200;73,8
20140128:1300;79,5
20140128:1400;76,65
20140128:1500;76,65
20140128:1600;79,55
20140128:1700;85,7
20140128:1800;95,75
20140128:1900;92,35
20140128:2000;92,35
20140128:2100;95,8
20140128:2200;92,3
20140128:2300;92,3
20140129:0000;92,25
20140129:0100;92,25
20140129:0200;92,25
20140129:0300;92,25
20140129:0400;92,25
20140129:0500;88,85
20140129:0600;92,2
20140129:0700;99,4
20140129:0800;92,2
20140129:0900;92,2
20140129:1000;85,6
20140129:1100;76,55
20140129:1200;63,5
20140129:1300;52,6
20140129:1400;46,95
20140129:1500;45,15
20140129:1600;43,4
20140129:1700;50,45
20140129:1800;56,45
20140129:1900;63,15
20140129:2000;70,7
20140129:2100;73,4
20140129:2200;73,3
20140129:2300;76,1
20140130:0000;76
20140130:0100;78,9
20140130:0200;78,8
20140130:0300;81,9
20140130:0400;81,8
20140130:0500;85,05
20140130:0600;81,8
20140130:0700;81,9
20140130:0800;81,95
20140130:0900;76
20140130:1000;67,9
20140130:1100;60,75
20140130:1200;50,35
20140130:1300;45
20140130:1400;40,25
20140130:1500;40,25
20140130:1600;45,15
20140130:1700;52,6
20140130:1800;58,65
20140130:1900;65,75
20140130:2000;70,85
20140130:2100;73,55
20140130:2200;73,45
20140130:2300;79,2
20140131:0000;82,3
20140131:0100;88,8
20140131:0200;92,15
20140131:0300;95,7
20140131:0400;92,15
20140131:0500;95,7
20140131:0600;95,7
20140131:0700;88,85
20140131:0800;88,85
20140131:0900;88,9
20140131:1000;82,65
20140131:1100;74,15
20140131:1200;68,9
20140131:1300;66,35
20140131:1400;68,9
20140131:1500;68,9
20140131:1600;78,04
20140131:1700;79,46
20140131:1800;80,88
20140131:1900;82,3
20140131:2000;83,71
20140131:2100;85,13
20140131:2200;86,55
20140131:2300;87,97
20210201:0000;89,39
20210201:0100;90,81
20210201:0200;92,23
20210201:0300;93,65
20210201:0400;95,07
20210201:0500;96,49
20210201:0600;97,9
20210201:0700;99,32
20210201:0800;85,8
20210201:0900;85,85
20210201:1000;79,9
20210201:1100;71,75
20210201:1200;66,85
20210201:1300;58,1
20210201:1400;54,1
20210201:1500;50,35
20210201:1600;54,25
20210201:1700;60,3
20210201:1800;69,45
20210201:1900;77,2
20210201:2000;79,95
20210201:2100;85,95
20210201:2200;89,1
20210201:2300;92,4
20210202:0000;92,35
20210202:0100;95,8
20210202:0200;95,8
20210202:0300;95,8
20210202:0400;99,4
20210202:0500;95,8
20210202:0600;99,4
20210202:0700;99,4
20210202:0800;99,4
20210202:0900;95,8
20210202:1000;92,45
20210202:1100;86
20210202:1200;83
20210202:1300;80,05
20210202:1400;71,85
20210202:1500;71,85
20210202:1600;71,85
20210202:1700;71,85
20210202:1800;77,15
20210202:1900;80,05
20210202:2000;80,05
20210202:2100;80,05
20210202:2200;86
20210202:2300;85,95
20210203:0000;89,1
20210203:0100;92,4
20210203:0200;92,4
20210203:0300;92,4
20210203:0400;92,4
20210203:0500;92,4
20210203:0600;89,1
20210203:0700;85,9
20210203:0800;85,9
20210203:0900;85,95
20210203:1000;82,9
20210203:1100;80,05
20210203:1200;77,2
